cdl_no,CDL_Name,Default_ETD_code,Default_ETD_comment,etd_no,Final_ETD_name,OpenET_ETD_pairing,OpenET_ETDpairing_name,,,
36,Alfalfa,3,Alfalfa -> Alfalfa - Beef Style,3,Alfalfa Beef Style,3,Alfalfa Beef Style,,,
37,Other Hay/Non Alfalfa,4,Other Hay/Non Alfalfa -> Grass Hay,4,Grass Hay,4,Grass Hay,,,
176,Grass/Pasture,15,Grassland/Pasture -> Grass Pasture - high management,4,Grass Hay,4,Grass Hay,,,
63,Forest,#N/A,#N/A,4,Grass Hay,4,Grass Hay,,,
82,Developed,#N/A,#N/A,4,Grass Hay,4,Grass Hay,,,
111,Open Water,#N/A,#N/A,4,Grass Hay,4,Grass Hay,,,
131,Barren,#N/A,#N/A,4,Grass Hay,4,Grass Hay,,,
141,Deciduous Forest,#N/A,#N/A,4,Grass Hay,4,Grass Hay,,,
142,Evergreen Forest,#N/A,#N/A,4,Grass Hay,4,Grass Hay,,,
143,Mixed Forest,#N/A,#N/A,4,Grass Hay,4,Grass Hay,,,
152,Shrubland,#N/A,#N/A,4,Grass Hay,4,Grass Hay,,,
0,,,,4,Grass Hay,4,Grass Hay,,,
42,Dry Beans,5,Dry Beans -> Snap and Dry Beans - fresh,5,Snap and Dry Beans - fresh,5,Snap and Dry Beans - fresh,,,
51,Chick Peas,5,Chick Peas -> Snap and Dry Beans - fresh,5,Snap and Dry Beans - fresh,5,Snap and Dry Beans - fresh,,,
52,Lentils,5,Lentils -> Snap and Dry Beans - fresh,5,Snap and Dry Beans - fresh,5,Snap and Dry Beans - fresh,,,
224,Vetch,6,Vetch -> Snap and Dry Beans - seed,5,Snap and Dry Beans - fresh,5,Snap and Dry Beans - fresh,,,
5,Soybeans,66,Soybeans -> Soybeans,5,Snap and Dry Beans - fresh,5,Snap and Dry Beans - fresh,,,  
1,Corn,7,Corn -> Field Corn,7,Field Corn,7,Field Corn,,,
13,Pop or Orn Corn,7,Pop or Orn Corn -> Field Corn,7,Field Corn,7,Field Corn,,,
12,Sweet Corn,9,Sweet Corn -> Sweet Corn Early Plant,9,Sweet Corn Early Plant,9,Sweet Corn Early Plant,,,
21,Barley,11,Barley -> Spring Grain - irrigated,11,Spring Grain - irrigated,11,Spring Grain - irrigated,,,
22,Durum Wheat,11,Durum Wheat -> Spring Grain - irrigated,11,Spring Grain - irrigated,11,Spring Grain - irrigated,,,
23,Spring Wheat,11,Spring Wheat -> Spring Grain - irrigated,11,Spring Grain - irrigated,11,Spring Grain - irrigated,,,
25,Other Small Grains,11,Other Small Grains -> Spring Grain - irrigated,11,Spring Grain - irrigated,11,Spring Grain - irrigated,,,
27,Rye,11,Rye -> Spring Grain - irrigated,11,Spring Grain - irrigated,11,Spring Grain - irrigated,,,
28,Oats,11,Oats -> Spring Grain - irrigated,11,Spring Grain - irrigated,11,Spring Grain - irrigated,,,
30,Speltz,11,Speltz -> Spring Grain - irrigated,11,Spring Grain - irrigated,11,Spring Grain - irrigated,,,
32,Flaxseed,11,Flaxseed -> Spring Grain - irrigated,11,Spring Grain - irrigated,11,Spring Grain - irrigated,,,
44,Other Crops,11,Other Crops -> Spring Grain - irrigated,11,Spring Grain - irrigated,11,Spring Grain - irrigated,,,
205,Triticale,11,Triticale -> Spring Grain - irrigated,11,Spring Grain - irrigated,11,Spring Grain - irrigated,,,
29,Millet,68,Millet -> Millet,11,Spring Grain - irrigated,11,Spring Grain - irrigated,,,
24,Winter Wheat,13,Winter Wheat -> Winter Grain - irrigated,13,Winter Grain - irrigated,13,Winter Grain - irrigated,,,
121,Developed/Open Space,#N/A,#N/A,17,turfgrass,17,turfgrass,,,
122,Developed/Low Intensity,#N/A,#N/A,17,turfgrass,17,turfgrass,,,
123,Developed/Med Intensity,#N/A,#N/A,17,turfgrass,17,turfgrass,,,
124,Developed/High Intensity,#N/A,#N/A,17,turfgrass,17,turfgrass,,,
66,Cherries,19,Cherries -> Orchards - Apples and Cherries w/ground cover,19,Apples and Cherries w/ ground cover,19,Apples and Cherries w/ ground cover,,,
67,Peaches,19,Peaches -> Orchards - Apples and Cherries w/ground cover,19,Apples and Cherries w/ ground cover,19,Apples and Cherries w/ ground cover,,,
68,Apples,19,Apples -> Orchards - Apples and Cherries w/ground cover,19,Apples and Cherries w/ ground cover,19,Apples and Cherries w/ ground cover,,,
71,Other Tree Crops,19,Other Tree Crops -> Orchards - Apples and Cherries w/ground cover,19,Apples and Cherries w/ ground cover,19,Apples and Cherries w/ ground cover,,,
77,Pears,19,Pears -> Orchards - Apples and Cherries w/ground cover,19,Apples and Cherries w/ ground cover,19,Apples and Cherries w/ ground cover,,,
210,Prunes,19,Prunes -> Orchards - Apples and Cherries w/ground cover,19,Apples and Cherries w/ ground cover,19,Apples and Cherries w/ ground cover,,,
218,Nectarines,19,Nectarines -> Orchards - Apples and Cherries w/ground cover,19,Apples and Cherries w/ ground cover,19,Apples and Cherries w/ ground cover,,,
220,Plums,19,Plums -> Orchards - Apples and Cherries w/ground cover,19,Apples and Cherries w/ ground cover,19,Apples and Cherries w/ ground cover,,,
223,Apricots,19,Apricots -> Orchards - Apples and Cherries w/ground cover,19,Apples and Cherries w/ ground cover,19,Apples and Cherries w/ ground cover,,,
47,Misc Vegs & Fruits,21,Misc Vegs & Fruits -> Garden Vegetables  - general,21,Garden Vegtables,21,Garden Vegtables,,,
50,Cucumbers,21,Cucumbers -> Garden Vegetables  - general,21,Garden Vegtables,21,Garden Vegtables,,,
57,Herbs,21,Herbs -> Garden Vegetables  - general,21,Garden Vegtables,21,Garden Vegtables,,,
207,Asparagus,21,Asparagus -> Aparagus,21,Garden Vegtables,21,Garden Vegtables,,,
214,Broccoli,21,Broccoli -> Garden Vegetables  - general,21,Garden Vegtables,21,Garden Vegtables,,,
219,Greens,21,Greens -> Garden Vegetables  - general,21,Garden Vegtables,21,Garden Vegtables,,,
222,Squash,21,Squash -> Garden Vegetables  - general,21,Garden Vegtables,21,Garden Vegtables,,,
229,Pumpkins,21,Pumpkins -> Garden Vegetables  - general,21,Garden Vegtables,21,Garden Vegtables,,,
244,Cauliflower,21,Cauliflower -> Garden Vegetables  - general,21,Garden Vegtables,21,Garden Vegtables,,,
246,Radishes,21,Radishes -> Garden Vegetables  - general,21,Garden Vegtables,21,Garden Vegtables,,,
247,Turnips,21,Turnips -> Garden Vegetables  - general,21,Garden Vegtables,21,Garden Vegtables,,,
249,Gourds,21,Gourds -> Garden Vegetables  - general,21,Garden Vegtables,21,Garden Vegtables,,,
206,Carrots,22,Carrots -> Carrots,21,Garden Vegtables,21,Garden Vegtables,,,
49,Onions,23,Onions -> Onions,21,Garden Vegtables,21,Garden Vegtables,,,
216,Peppers,59,Peppers -> Peppers,21,Garden Vegtables,21,Garden Vegtables,,,
243,Cabbage,80,Cabbage -> Cabbage,21,Garden Vegtables,21,Garden Vegtables,,,
48,Watermelons,24,Watermelons -> Melons,21,Garden Vegtables,21,Garden Vegtables,,,
209,Cantaloupes,24,Cantaloupes -> Melons,21,Garden Vegtables,21,Garden Vegtables,,,
227,Lettuce,71,Lettuce -> Lettuce (Single Crop),21,Garden Vegtables,21,Garden Vegtables,,,
69,Grapes,25,Grapes -> Grapes,25,Grapes,25,Grapes,,,
53,Peas,27,Peas -> Peas--fresh,27,Peas--fresh,27,Peas--fresh,,,
43,Potatoes,30,Potatoes -> Potatoes,30,Potatoes - baking (late harvest),30,Potatoes - baking (late harvest),,,
46,Sweet Potatoes,30,Sweet Potatoes -> Potatoes,30,Potatoes - baking (late harvest),30,Potatoes - baking (late harvest),,,
41,Sugarbeets,31,Sugarbeets -> Sugar beets,31,Sugar beets,31,Sugar beets,,,
56,Hops,32,Hops -> Hops,32,Hops,32,Hops,,,
14,Mint,33,Mint -> Mint,33,Mint,33,Mint,,,
6,Sunflower,36,Sunflower -> Sunflower -irrigated,36,Sunflower,36,Sunflower,,,
33,Safflower,38,Safflower -> Safflower -irrigated,38,Safflower,38,Safflower,,,
31,Canola,40,Canola -> Canola,40,Canola,40,Canola,,,
34,Rape Seed,41,Rape Seed -> Mustard,41,Mustard,41,Mustard,,,
35,Mustard,41,Mustard -> Mustard,41,Mustard,41,Mustard,,,
38,Camelina,41,Camelina -> Mustard,41,Mustard,41,Mustard,,,
39,Buckwheat,41,Buckwheat -> Mustard,41,Mustard,41,Mustard,,,
58,Clover/Wildflowers,41,Clover/Wildflowers -> Mustard,41,Mustard,41,Mustard,,,
59,Sod/Grass Seed,17,Sod/Grass Seed -> Grass - Turf (lawns) -irrigated,42,Bluegrass Seed,42,Bluegrass Seed,,,
208,Garlic,43,Garlic -> Garlic,43,Garlic,43,Garlic,,,
61,Fallow/Idle Cropland,#N/A,#N/A,44,Bare Soil,44,Bare Soil,,,
87,Wetlands,#N/A,#N/A,51,Wetlands - Large stand,51,Wetlands - Large stand,,,
190,Woody Wetlands,#N/A,#N/A,51,Wetlands - Large stand,51,Wetlands - Large stand,,,
195,Herbaceous Wetlands,#N/A,#N/A,51,Wetlands - Large stand,51,Wetlands - Large stand,,,
4,Sorghum,60,Sorghum -> Sorghum,60,Sorghum,60,Sorghum,,,
221,Strawberries,62,Strawberries -> Strawberries,62,Strawberries,62,Strawberries,,,
242,Blueberries,63,Blueberries -> Blueberries,63,Blueberries,63,Blueberries,,,
55,Caneberries,75,Caneberries -> Cranberries,63,Blueberries,63,Blueberries,,,
76,Walnuts,74,Walnuts -> Nuts,74,Nuts,74,Nuts,,,
250,Cranberries,75,Cranberries -> Cranberries,75,Cranberries,75,Cranberries,,,
45,Sugarcane,76,Sugarcane -> Sugarcane,76,Sugarcane,76,Sugarcane,,,
225,Dbl Crop WinWht/Corn,77,Dbl Crop WinWht/Corn -> Field Corn After Another Crop,77,Dbl Crop WinWht/Corn -> Field Corn After Another Crop,77,Dbl Crop WinWht/Corn -> Field Corn After Another Crop,,,
226,Dbl Crop Oats/Corn,77,Dbl Crop Oats/Corn -> Field Corn After Another Crop,77,Dbl Crop Oats/Corn -> Field Corn After Another Crop,77,Dbl Crop Oats/Corn -> Field Corn After Another Crop,,,
237,Dbl Crop Barley/Corn,"11,77",Dbl Crop Barley/Corn -> Field Corn After Another Crop,77,Dbl Crop WinWht/Corn -> Field Corn After Another Crop,77,Dbl Crop WinWht/Corn -> Field Corn After Another Crop,,,
236,Dbl Crop WinWht/Sorghum,"13,78",Dbl Crop WinWht/Sorghum -> Sorghum After Another Crop,77,Dbl Crop WinWht/Corn -> Field Corn After Another Crop,77,Dbl Crop WinWht/Corn -> Field Corn After Another Crop,,,
241,Dbl Crop Corn/Soybeans,"7,85",Dbl Crop Corn/Soybeans -> Soybeans After Another Crop,77,Dbl Crop Oats/Corn -> Field Corn After Another Crop,77,Dbl Crop Oats/Corn -> Field Corn After Another Crop,,,
228,Dbl Crop Triticale/Corn,#N/A,#N/A,77,Dbl Crop Oats/Corn -> Field Corn After Another Crop,77,Dbl Crop Oats/Corn -> Field Corn After Another Crop,,,
70,Christmas Trees,82,Christmas Trees -> Christmas Trees,82,Christmas Trees,82,Christmas Trees,,,
